Proposed standard spelling for our dataset (MK),Term,English,spelling variations,in our dataset? y/n,in 2ndary glossaries y/n,Description,object type,fiber type,color,how color applied,pattern,weave type,quality,Source Location?,Exported to:,(in purple): modifiers from our data (full text),modifier: color,modifier: pattern,modifier: place,modifier: fiber,modifer: quality,modifier: size,modifier: other or unknown,Category,Subcategory,Piece size,Image:,Notes
adaties,adathaies,Adathaies,"Addaties, adathys, adaties",y,y,"Consistent definitions: good quality muslin from Bengal, Dacca District; I1966: Plain Muslin, usually of fine quality",textile,cotton,,,,plainweave,high,"I1966: North-east India, chiefly Dacca district (I1966)",,fijn,,,,,fine,,,textile,,,,
,adinkra,,,,y,"Riello/Parth: cotton cloth with printed or painted pattern, made in Asante kingdom; originally strip cloth",textile,cotton,,painted; printed,,,,,,,,,,,,,,,,,,
,adputtaes,adputtaes,udputtaes,,y,"Consistent definitions: half cotton, half silk cloth, woven in Sind for export to Persia; I1966: cloth of mixed cotton and silk",textile,cotton/silk,,,,,,"I1966: Northwestern India, specifically Sind",I1966: Persia,,,,,,,,,textile,,,,
,affumanias,affimamas,,y,,?,,,,,,,,,,,,,,,,,,,,,,
atchiabanijs,aichuabannys,,"atchiabanys, atchiabanijs",y,,One def (Chaudhuri): plain white coarse cloth from Bengal,textile,,white,plain (undyed and unbleached?),solid (single color),,,,,none,,,,,,,,,,,,
alacha,alacha,alacha,"allegias, elatches, layches, saboon, alegias",,y,"Lots of definitions, they agree that the term means stripes, and that this could be cotton and silk or just cotton, and the stripes were often red or blue. Sometimes also flowered or with metal thread. I1966: originally a striped cloth of mixed cotton and silk, usually white and red or blue and white, sometimes flowered and embellished with gold or silver thread (alacha means striped); Gujarat alachas (sometimes classfied as calico) were more cotton than Bengal alachas, Coromandel alachas were striped but entirely cotton; alachas have more substantial texture than the similar doreas; see Agrawal in Crill 2006; RielloParth2009 also has alaca as a cotton/silk red/yellow striped cloth used in Ottoman Empire",textile,cotton; cotton/silk,multiple,colored threads (loom-patterned); supplemental thread,stripe,plainweave,,I1966: Northwestern India and Bengal,,"also silk, tesser/teffer (a type of silk, right?), tesser Bengaals, zijden Bengaals, zijden Surats",,,"Bengal, Surat","silk, tesser",,,,textile,,"varies, see I1966",,
alkatief,alkatief,,,y,n,no definitions,textile/unclear,,,,,,,,,"woolen, Bengals, blue with silver stripes, double red gold with golden stripes, silk, silk Surats, tesser/se (type of silk), tesser Bengals","blue/silver, red/gold","stripes, double?",Bengal,"wool, silk, tesser",,,,,,,,
,allada cloth,,,,y,"Riello/Parth: cotton cloth with loom pattern, made in Benin",textile,cotton,multiple,colored threads (loom-patterned),,,,,,,,,,,,,,,,,,
alacha,allejaes,allejaes,"allegaes, allejars, alegias",y,y,"Most glossaries consider this a spelling variant of allacha (above). I1966: cotton, mostly striped (white/red or white/blue) or also checkered; Alpers: cotton/silk or cotton, usually striped red/white or blue/white, sometimes checked, flowered, or solid red or blue; see Agrawal in Crill 2006; RielloParth2009 says this is a handkerchief, cotton, striped [MK: comparison of src_00054 to BGB, there is a coinciding of the amount of pieces for tesserse allegias and terindani. Unclear if they are same]",textile,cotton,multiple,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; check; floral; solid (single-color),,,"I1966: South India/Coromandel Coast, chiefly near Masulapatam","I1966: Europe as handkerchiefs, starting 1670; Africa","silk, tesser (a type of silk)",,,,"silk, tesser",,,,textile,,,,
alliballijs,alliballies,alliballes,aliabalijs,y,y,"I1966: a very fine quality muslin, not the same as allibannees (this is the only definition)",textile,cotton,,,,plainweave,high,I1966: Bengal,,,,,,,,,,textile,,,,
