exchange_nr,source,company,means_of_exchange,ship_captain,orig_date_src,orig_yr,orig_date,orig_exact_date_yn,orig_loc_port_arch,orig_loc_region_arch,orig_loc_port_modern,orig_loc_region_modern,orig_loc_lat,orig_loc_long,dest_date_src,dest_yr,dest_date,dest_exact_date_yn,dest_loc_port_arch,dest_loc_region_arch,dest_loc_port,dest_loc_region,dest_loc_lat,dest_loc_long,textile_quantity,textile_unit,els_per_ps,supplier,textile_category,textile_subcategory,textile_name,textile_modifier_fulltext,textile_color_arch,textile_color_inf,textile_pattern_arch,textile_process_arch,textile_fiber_arch,textile_geography_arch,textile_quality_arch,textile_other_unknown_arch,textile_quality_inferred,ship_doc_total_arch,shipment_total_value,shipment_currency,total_value_guldens,total_value_stuivers,total_value_penningen,total_value_currency,total_value_other,ps_value_gulden,ps_value_stuivers,ps_value_penningen,ps_value_currency,additional_text_from_doc,notes_other,headerexplanations,httpsdocsgooglecomdocumentd1wnak,total_value_dutch_gulders
1000175,WIC_1.05.01.02_1304_280-281,WIC,Guineze Galeij,Jacob Bas,arch,1723,1723-01-08,y,Amsterdam,"NA",Texel,Netherlands,"NA","NA",HdH,1723,1723-09-14,"NA","NA",Guinea,"NA","NA","NA","NA",57.00,el,57,Joost Wilkens,"NA","NA",laken,Blaeuw Laken,blue,"NA","NA","NA","NA","NA","NA","NA","NA","11297,9,0","11297,9,0",guilders,171,0,0,guilders,"NA",3,0,0,guilders,"NA",Price per total el,HdH 11.300,"NA",171
11120,WIC_1.05.01.02_1302_218-220,WIC,Stad en Lande,Jan van der Venne,hdh,1720,1720-12-00,n,"NA","NA",Texel,Netherlands,"NA","NA",est,n/a,"NA",n,Guinea,"NA",Elmina,Ghana,"NA","NA",10400.00,el,"NA",Gerart Ter Borgh,"NA","NA",perpetuanen,"""voor donker blauw verven en persen""",dark blue,"NA","NA","NA","NA","NA","NA","NA","NA","14303,11,0","14303,11,0",guilders,585,0,0,guilders,"NA",0,1.129999995,0,guilders,dyed and pressed? Maybe Talitha knows what verven en persen means?,"NA","NA","NA",585
1000287,WIC_1.05.01.02_1299_279-281,WIC,De Stad Amsterdam,Sipke Brouwer,"NA",1718,1718-08-21,y,Noorderkwartier,"NA",Texel,Netherlands,"NA","NA",sv,1719,1719-03-12,"NA",Angola,"NA",Luanda,Angola,"NA","NA",50.00,el,50,Jacob Benningbroek,"NA","NA",scharlaken,rood scharlaken,red,"NA","NA","NA","NA","NA","NA","NA","NA",28269.5.0,28269.5.0,guilders,240,0,0,guilders,"NA",4,16,0,guilders,"NA",Price per piece (50 el),"NA",HdH 28270,240
11217,WIC_1.05.01.02_1302_254-256,WIC,Emmenes,Simonse Valk,hdh,1721,1721-2-19,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1721,1721-5-1,n,Ardra,"NA",Ouidah,Benin,"NA","NA",517.00,el,"NA",L. van der Vinne,"NA","NA",atlassen,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29539,14,0","78577,4,0",guilders,310,4,0,guilders,"NA",0,12,0,guilders,"NA","NA","NA","NA",310.2
1000001,WIC_1.05.01.02_1304_192-195,WIC,Phenix,Jacob Wallee,HdH,1722,1722-10-22,n,Zeeland,"NA",Vlissingen,Netherlands,"NA","NA",sv,1723,1723-1-13,"NA",Angola,"NA",Luanda,Angola,"NA","NA",168.00,el,33.6,Jacob Vanhoorn,"NA","NA",laken,Root,red,"NA","NA","NA","NA","NA","NA","NA","NA","40000,0,0","97000,0,0",guilders,588,0,0,guilders,"NA",3.5,0,0,guilders,"NA","Price is per el, not per piece","NA","NA",588
11216,WIC_1.05.01.02_1302_254-256,WIC,Emmenes,Simonse Valk,hdh,1721,1721-2-19,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1721,1721-5-1,n,Ardra,"NA",Ouidah,Benin,"NA","NA",525.00,el,"NA",L. van der Vinne,"NA","NA",atlassen,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29539,14,0","78577,4,0",guilders,420,0,0,guilders,"NA",0,16,0,guilders,"NA","NA","NA","NA",420
11219,WIC_1.05.01.02_1302_254-256,WIC,Emmenes,Simonse Valk,hdh,1721,1721-2-19,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1721,1721-5-1,n,Ardra,"NA",Ouidah,Benin,"NA","NA",495.00,el,"NA",M. Hooft,"NA","NA",atlassen,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29539,14,0","78577,4,0",guilders,290,12,0,guilders,"NA",0,11.75,0,guilders,"NA","NA","NA","NA",290.6
1000288,WIC_1.05.01.02_1299_279-281,WIC,De Stad Amsterdam,Sipke Brouwer,"NA",1718,1718-08-21,y,Noorderkwartier,"NA",Texel,Netherlands,"NA","NA",sv,1719,1719-03-12,"NA",Angola,"NA",Luanda,Angola,"NA","NA",100.00,el,100,Jacob Benningbroek,"NA","NA",laken,Blauw laken,blue,"NA","NA","NA","NA","NA","NA","NA","NA",28269.5.0,28269.5.0,guilders,385,0,0,guilders,"NA",3,17,0,guilders,"NA",Price per piece (100 el),"NA",HdH 28270,385
1000187,WIC_1.05.01.02_1304_326-328,WIC,Waartwijk,Stoffel Buttel,HdH,1723,1723-03-28,n,Amsterdam,"NA",Texel,Netherlands,"NA","NA",HdH,1725,1725-07-25,"NA",Angola,"NA","NA","NA","NA","NA",54.00,el,54,Joost Wilkens,"NA","NA",laken,blaauw,blue,"NA","NA","NA","NA","NA","NA","NA","NA","21252,11,8","21252,11,8",guilders,162,0,0,guilders,"NA",3,0,0,guilders,"NA",Price per el,HdH 21250,"NA",162
11294,WIC_1.05.01.02_1302_422-24,WIC,Vlissingen,Gerrit de Haan,hdh,1721,1721-11-30,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1722,"NA","NA",Guinea,"NA",Elmina,Ghana,"NA","NA",1.00,el,173,Lucas Marinus,"NA","NA",laken,"""root laken""",red,"NA","NA","NA","NA","NA","NA","NA","NA","35658,1,0","35658,1,0",guilders,648,15,0,guilders,"NA",3.75,0,0,guilders,"per el--also, there is no piece number, so I have filled in 1. Perhaps this isn't a good idea. To discuss.","NA","NA","NA",648.75
1000210,WIC_1.05.01.02_1304_361-363,WIC,Geertruijt Galeij,Marten Steencroes,HdH,1723,1723-07-08,n,Amsterdam,"NA",Texel,Netherlands,"NA","NA",HdH,1724,1724-06-05,"NA",Arguin,"NA",Arguin,Mauritania,"NA","NA",57.50,el,57.5,Joost Wilkens,"NA","NA",lacken,Blauw,blue,"NA","NA","NA","NA","NA","NA","NA","NA","21066,11,0","21066,11,0",guilders,126,10,0,guilders,"NA","NA",44,0,guilders,"Title of entry is: Lakens & Sayen - with 3 entries, I think the first two might be Lakens and the last one Sayen (but difficult to say with certainty) - This is first entry",Price per el,HdH 21070,"NA",126.5
1000145,WIC_1.05.01.02_1304_272-273,WIC,Akredam,Benjamin Kreeft,HdH,1723,1723-01-08,n,Noorderkwartier,"NA",Texel,Netherlands,"NA","NA",sv,1723,1723-03-12,"NA",Elmina,Guinea,"NA","NA","NA","NA",60.00,el,"NA",Jacob Groes de Jonge,"NA","NA",laken,Groenelaken,"NA","NA","NA","NA","NA","NA","NA","NA","NA","14634,19,0","50053,69,0",guilders,240,0,0,guilders,"NA",4,0,0,guilders,"NA",Price per el,"NA","NA",240
1000188,WIC_1.05.01.02_1304_326-328,WIC,Waartwijk,Stoffel Buttel,HdH,1723,1723-03-28,n,Amsterdam,"NA",Texel,Netherlands,"NA","NA",HdH,1725,1725-07-25,"NA",Angola,"NA","NA","NA","NA","NA",57.00,el,57,Joost Wilkens,"NA","NA",laken,rood,red,"NA","NA","NA","NA","NA","NA","NA","NA","21252,11,8","21252,11,8",guilders,199,10,0,guilders,"NA",3.5,0,0,guilders,"NA",Price per el,HdH 21250,"NA",199.5
